timestamp_ns,height_inv_mm
0,0.0
21737090,0.070375
42092486,0.299082
62740472,0.462606
83247508,0.645494
105007849,0.701126
127552082,0.757849
148139716,0.773244
168966553,0.789352
189448632,0.777657
210847868,0.768291
233523721,0.74866
254532095,0.735817
275590964,0.722699
296499317,0.712196
316646877,0.676476
337088839,0.65743
358109852,0.640367
378933139,0.657291
399791689,0.648779
421270897,0.645262
441733546,0.659024
462273600,0.648127
483279317,0.667517
503323811,0.640892
527961800,0.617106
547948972,0.597244
574917658,0.583501
595471807,0.554911
615133062,0.542897
638118229,0.532958
659871574,0.528781
681129250,0.521896
703278624,0.500949
727405452,0.467114
748706172,0.450502
769358376,0.418326
790124294,0.389613
